fecha,producto,peso,precio,precio_num,fecha_dia
2025-05-27 12:50:44.441000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€",12.88,2025-05-27
2025-05-27 10:53:23.735000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€",12.88,2025-05-27
2025-05-28 09:27:03.244000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-05-28
2025-05-29 09:26:21.960000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€",12.88,2025-05-29
2025-05-29 09:45:39.795000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€",12.88,2025-05-29
2025-05-30 09:25:51.060000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-05-30
2025-05-31 09:23:33.588000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-05-31
2025-06-01 09:24:00.785000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-01
2025-06-02 09:27:18.912000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-02
2025-06-03 09:27:06.215000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-03
2025-06-04 09:26:40.991000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€",12.88,2025-06-04
2025-06-05 09:26:43.155000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-05
2025-06-06 09:26:38.598000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-06
2025-06-07 09:23:12.103000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-07
2025-06-08 09:23:39.342000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-08
2025-06-09 09:27:19.026000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-09
2025-06-10 09:27:00.787000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-10
2025-06-25 09:54:32.983000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:00:47.857000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:01:08.669000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:02:46.306000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:09:44.172000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:19:03.591000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:19:56.117000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:25:16.680000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:29:11.018000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:30:56.200000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:32:02.839000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:33:16.153000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:35:37.700000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:37:40.923000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:39:30.519000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:41:14.657000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:52:47.272000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 10:54:06.580000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-25 11:00:50.420000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-06-25
2025-06-26 10:54:15.735000,CREATINA MONOHIDRATO EN POLVO,1Kg,"12,88€",12.88,2025-06-26
2025-07-15 09:07:59.478000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
2025-07-15 09:14:36.252000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
2025-07-15 09:17:04.256000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
2025-07-15 09:25:53.501000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
2025-07-15 09:27:45.642000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
2025-07-15 10:54:14.285000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
2025-07-15 12:03:48.922000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
2025-07-15 12:06:14.737000,CREATINA MONOHIDRATO EN POLVO,1Kg,"15,41€",15.41,2025-07-15
