fecha,producto,peso,precio
2025-05-27 12:50:39.008000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-27 10:53:19.630000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-28 09:26:58.086000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-29 09:26:18.048000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-29 09:45:34.945000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-30 09:25:47.348000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-31 09:23:28.696000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-01 09:23:55.949000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-06-02 09:27:14.922000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-03 09:27:01.021000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-04 09:26:36.197000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-05 09:26:39.194000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-06 09:26:33.703000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-07 09:23:08.593000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-08 09:23:34.919000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-09 09:27:14.806000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-10 09:26:56.872000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 09:54:29.937000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:00:45.320000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:01:06.018000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:02:43.710000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:09:38.088000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:19:01.009000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:19:53.461000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:25:14.072000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:29:08.365000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:30:53.470000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:32:00.122000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:33:13.408000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:35:34.927000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:37:38.134000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:39:27.812000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:41:11.857000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:52:44.319000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 10:54:03.713000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-25 11:00:47.646000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-26 10:54:12.540000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 09:07:55.972000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 09:14:33.361000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 09:17:01.402000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 09:25:50.723000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 09:27:42.790000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 10:54:11.031000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:03:46.020000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:06:11.860000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:06:40.292000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:08:37.673000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:10:58.886000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:12:14.045000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:12:55.546000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:15:04.408000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:15:41.937000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:16:24.813000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:17:02.420000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:22:59.721000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:26:09.780000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-15 12:28:06.305000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-16 10:54:12.591000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-16 13:54:51.214000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-17 10:54:12.422000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-17 13:11:07.676000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-17 13:11:17.032000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-18 10:54:11.814000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-19 10:54:11.885000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-20 10:54:12.046000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-21 10:54:12.173000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-22 10:54:12.108000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-23 10:54:11.984000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-24 10:54:12.088000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-25 10:54:12.683000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-26 10:54:12.097000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-27 10:54:11.947000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-07-28 10:54:11.862000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-07-29 10:54:12.816000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-30 10:54:12.518000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-07-31 10:54:12.179000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-08-01 10:54:11.691000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-02 10:54:11.697000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-03 10:54:11.633000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-04 10:54:11.595000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-05 10:54:11.759000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-06 10:54:11.611000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-07 10:54:11.880000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-08 10:54:12.418000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-09 10:54:11.626000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-10 10:54:11.662000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-11 10:54:11.563000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-12 10:54:11.964000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-08-13 10:54:12.466000,EVOWHEY PROTEIN,2Kg,"37,90€"
