fecha,producto,peso,precio
2025-05-27 12:50:39.008000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-27 10:53:19.630000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-28 09:26:58.086000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-29 09:26:18.048000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-29 09:45:34.945000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-30 09:25:47.348000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-05-31 09:23:28.696000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-01 09:23:55.949000,EVOWHEY PROTEIN,2Kg,"33,90€"
2025-06-02 09:27:14.922000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-03 09:27:01.021000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-04 09:26:36.197000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-05 09:26:39.194000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-06 09:26:33.703000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-07 09:23:08.593000,EVOWHEY PROTEIN,2Kg,"37,90€"
2025-06-08 09:23:34.919000,EVOWHEY PROTEIN,2Kg,"34,90€"
2025-06-09 09:27:14.806402,EVOWHEY PROTEIN,2Kg,"37,90€"
